city_name,clouds,humidity,lat,lon,temp,wind_speed
Hervey Bay,80,100,-22.92083137702737,155.93342325049696,75.71,17.63
Simbahan,0,100,6.373141176460251,120.86934941602993,81.83,9.69
Hilo,90,94,21.676961949587806,-143.41757202007577,67.42,6.93
Atuona,76,100,-2.6190588516266615,-143.37053784482185,80.48,14.5
Ushuaia,20,75,-75.59120743365973,-27.422810119896923,42.8,24.16
Busselton,80,100,-60.26787788017086,85.54745999150731,69.14,10.58
Lodja,36,98,-2.535227488041869,22.641886628381087,70.85,2.19
Carnarvon,32,52,-21.000577742953084,111.14114414078796,53.12,6.11
Sioux Lookout,20,49,55.82023417887811,-91.1748723813676,28.71,11.41
Mar del Plata,12,47,-54.19423224990075,-44.36328194529375,56.18,16.17
Point Fortin,20,74,9.92061345142858,-61.69893127570931,78.8,9.17
Qaanaaq,48,98,86.80223326112886,-78.93669515178728,-9.26,1.74
Puerto Ayora,20,74,-13.927562416978219,-104.17530964311945,84.2,6.93
Hithadhoo,92,100,-5.250975481336809,83.21586483463341,82.64,9.8
Ribeira Grande,88,100,37.08328275973919,-31.966339237382726,59.33,18.19
Tasiilaq,36,43,52.862010066263025,-32.81903637838391,15.8,6.93
Arraial do Cabo,20,83,-47.78400760628985,-25.385629738814686,80.6,14.99
Quelimane,75,94,-19.220765452968777,38.651656494936674,77.0,2.75
Kapaa,90,94,32.10671000693121,-166.34148715244982,72.43,9.17
Nikolskoye,75,73,53.0533706036648,172.36440221868207,21.2,22.37
Wittstock,80,100,53.088094813511105,12.419575664425679,33.68,8.23
Kaliganj,0,81,23.374161837670812,89.05138891176898,66.35,2.75
Katsuura,20,66,30.084916609023793,145.1710525843041,55.4,6.93
Tessalit,12,26,21.50867120526476,1.8085194006030179,63.38,3.09
Surgut,40,92,60.665100933065446,74.03918447529404,19.4,8.95
Castro,48,75,-49.092668069145475,-107.84307028601475,50.78,6.11
Ahmadpur Sial,0,95,30.566833109400832,71.49605594112973,59.51,4.99
Ushuaia,20,75,-82.72385469577432,-63.19057636624888,42.8,24.16
Rikitea,0,100,-54.70559522935358,-125.42606136500459,82.1,8.23
Lebu,75,82,-35.5784632377062,-77.44024924803479,59.0,3.2
Jamestown,32,96,-35.9021575722269,-4.691338433719324,62.75,4.09
Hermanus,92,99,-66.05352803648366,7.2512040702793,62.84,3.53
Hsinchu,40,93,25.04243900025334,120.57210507313061,66.83,1.12
Hermanus,92,99,-87.77563536517522,-10.729296029897938,62.84,3.53
Palmer,75,67,56.27382444331528,-144.35380181688691,62.6,5.1
East London,0,100,-56.66736167317728,48.027079538375006,69.5,8.46
Port Alfred,80,92,-56.982047265746516,36.73143497298341,66.44,7.45
Rikitea,0,100,-15.521699870829579,-121.77691224920383,82.1,8.23
Chokurdakh,36,61,82.41138970534078,156.32027428503346,-20.87,14.5
Nanortalik,0,100,58.015078399434174,-42.915928254363536,24.05,10.8
Rantepao,100,99,-2.085963511075718,119.64406648429099,69.68,2.64
Polanco,92,96,8.532566510006063,123.34271808982498,75.62,1.07
Suclayin,8,100,15.704977373632289,121.94921686432059,79.04,12.48
San Patricio,12,87,18.521269624280734,-105.81265300368503,81.38,5.44
Shelburne,1,63,42.64656159755427,-65.04548408697121,28.4,12.75
Dikson,68,100,85.53605424360717,70.21133833198223,-4.49,28.59
Rikitea,0,100,-76.79479968624472,-121.47772333858109,82.1,8.23
Geraldton,90,79,-34.02681796001071,93.49974895194208,26.6,13.87
Carutapera,92,96,5.319392857466738,-42.97762847682259,77.96,6.11
